File,WaveData20170718_009.csv,
Date/Time,17-07-18/02:48,

Trace,A
Center Wavelength,1610,nm
Span Wavelength,100,nm
Start Wavelength,1560,nm
Stop Wavelength,1660,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.05,nm
Actual Resolution,0.048,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,5,
Smooth,3,pt
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1560,nm
Stop,1660,nm
Trace,B
Center Wavelength,1610,nm
Span Wavelength,100,nm
Start Wavelength,1560,nm
Stop Wavelength,1660,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.05,nm
Actual Resolution,0.048,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,5,
Smooth,3,pt
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1560,nm
Stop,1660,nm
Trace,C
Center Wavelength,1610,nm
Span Wavelength,100,nm
Start Wavelength,1560,nm
Stop Wavelength,1660,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.05,nm
Actual Resolution,0.048,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,5,
Smooth,3,pt
Sampling Points,501,pt
Trace Type,Calculate,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1560,nm
Stop,1660,nm

Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1560.000000,8.5430E-008,1560.000000,8.5430E-008,1560.000000,1.0000E000
1560.200000,8.2720E-008,1560.200000,8.2720E-008,1560.200000,1.0000E000
1560.400000,1.0690E-007,1560.400000,1.0690E-007,1560.400000,1.0000E000
1560.600000,9.1380E-008,1560.600000,9.1380E-008,1560.600000,1.0000E000
1560.800000,1.1540E-007,1560.800000,1.1540E-007,1560.800000,1.0000E000
1561.000000,1.2700E-007,1561.000000,1.2700E-007,1561.000000,1.0000E000
1561.200000,1.1090E-007,1561.200000,1.1090E-007,1561.200000,1.0000E000
1561.400000,1.1400E-007,1561.400000,1.1400E-007,1561.400000,1.0000E000
1561.600000,1.3220E-007,1561.600000,1.3220E-007,1561.600000,1.0000E000
1561.800000,1.5380E-007,1561.800000,1.5380E-007,1561.800000,1.0000E000
1562.000000,1.1640E-007,1562.000000,1.1640E-007,1562.000000,1.0000E000
1562.200000,1.2290E-007,1562.200000,1.2290E-007,1562.200000,1.0000E000
1562.400000,1.6360E-007,1562.400000,1.6360E-007,1562.400000,1.0000E000
1562.600000,1.5250E-007,1562.600000,1.5250E-007,1562.600000,1.0000E000
1562.800000,1.4850E-007,1562.800000,1.4850E-007,1562.800000,1.0000E000
1563.000000,1.2630E-007,1563.000000,1.2630E-007,1563.000000,1.0000E000
1563.200000,1.5970E-007,1563.200000,1.5970E-007,1563.200000,1.0000E000
1563.400000,1.4330E-007,1563.400000,1.4330E-007,1563.400000,1.0000E000
1563.600000,1.4540E-007,1563.600000,1.4540E-007,1563.600000,1.0000E000
1563.800000,1.6290E-007,1563.800000,1.6290E-007,1563.800000,1.0000E000
1564.000000,1.8270E-007,1564.000000,1.8270E-007,1564.000000,1.0000E000
1564.200000,1.4830E-007,1564.200000,1.4830E-007,1564.200000,1.0000E000
1564.400000,1.9030E-007,1564.400000,1.9030E-007,1564.400000,1.0000E000
1564.600000,1.8340E-007,1564.600000,1.8340E-007,1564.600000,1.0000E000
1564.800000,1.8780E-007,1564.800000,1.8780E-007,1564.800000,1.0000E000
1565.000000,1.8380E-007,1565.000000,1.8380E-007,1565.000000,1.0000E000
1565.200000,1.7070E-007,1565.200000,1.7070E-007,1565.200000,1.0000E000
1565.400000,1.8810E-007,1565.400000,1.8810E-007,1565.400000,1.0000E000
1565.600000,1.8880E-007,1565.600000,1.8880E-007,1565.600000,1.0000E000
1565.800000,1.9260E-007,1565.800000,1.9260E-007,1565.800000,1.0000E000
1566.000000,1.8500E-007,1566.000000,1.8500E-007,1566.000000,1.0000E000
1566.200000,1.9310E-007,1566.200000,1.9310E-007,1566.200000,1.0000E000
1566.400000,1.8380E-007,1566.400000,1.8380E-007,1566.400000,1.0000E000
1566.600000,1.8850E-007,1566.600000,1.8850E-007,1566.600000,1.0000E000
1566.800000,1.4660E-007,1566.800000,1.4660E-007,1566.800000,1.0000E000
1567.000000,1.9480E-007,1567.000000,1.9480E-007,1567.000000,1.0000E000
1567.200000,2.2760E-007,1567.200000,2.2760E-007,1567.200000,1.0000E000
1567.400000,2.0870E-007,1567.400000,2.0870E-007,1567.400000,1.0000E000
1567.600000,2.1250E-007,1567.600000,2.1250E-007,1567.600000,1.0000E000
1567.800000,1.9390E-007,1567.800000,1.9390E-007,1567.800000,1.0000E000
1568.000000,1.7590E-007,1568.000000,1.7590E-007,1568.000000,1.0000E000
1568.200000,1.7420E-007,1568.200000,1.7420E-007,1568.200000,1.0000E000
1568.400000,2.0860E-007,1568.400000,2.0860E-007,1568.400000,1.0000E000
1568.600000,1.6010E-007,1568.600000,1.6010E-007,1568.600000,1.0000E000
1568.800000,1.8910E-007,1568.800000,1.8910E-007,1568.800000,1.0000E000
1569.000000,1.8310E-007,1569.000000,1.8310E-007,1569.000000,1.0000E000
1569.200000,1.7810E-007,1569.200000,1.7810E-007,1569.200000,1.0000E000
1569.400000,1.5600E-007,1569.400000,1.5600E-007,1569.400000,1.0000E000
1569.600000,1.5920E-007,1569.600000,1.5920E-007,1569.600000,1.0000E000
1569.800000,1.6350E-007,1569.800000,1.6350E-007,1569.800000,1.0000E000
1570.000000,1.5340E-007,1570.000000,1.5340E-007,1570.000000,1.0000E000
1570.200000,1.5380E-007,1570.200000,1.5380E-007,1570.200000,1.0000E000
1570.400000,1.6670E-007,1570.400000,1.6670E-007,1570.400000,1.0000E000
1570.600000,1.4240E-007,1570.600000,1.4240E-007,1570.600000,1.0000E000
1570.800000,1.4560E-007,1570.800000,1.4560E-007,1570.800000,1.0000E000
1571.000000,1.2690E-007,1571.000000,1.2690E-007,1571.000000,1.0000E000
1571.200000,1.3870E-007,1571.200000,1.3870E-007,1571.200000,1.0000E000
1571.400000,1.3490E-007,1571.400000,1.3490E-007,1571.400000,1.0000E000
1571.600000,9.8110E-008,1571.600000,9.8110E-008,1571.600000,1.0000E000
1571.800000,1.1570E-007,1571.800000,1.1570E-007,1571.800000,1.0000E000
1572.000000,1.1450E-007,1572.000000,1.1450E-007,1572.000000,1.0000E000
1572.200000,1.0460E-007,1572.200000,1.0460E-007,1572.200000,1.0000E000
1572.400000,9.5160E-008,1572.400000,9.5160E-008,1572.400000,1.0000E000
1572.600000,8.4070E-008,1572.600000,8.4070E-008,1572.600000,1.0000E000
1572.800000,1.0390E-007,1572.800000,1.0390E-007,1572.800000,1.0000E000
1573.000000,9.3240E-008,1573.000000,9.3240E-008,1573.000000,1.0000E000
1573.200000,6.7660E-008,1573.200000,6.7660E-008,1573.200000,1.0000E000
1573.400000,9.0530E-008,1573.400000,9.0530E-008,1573.400000,1.0000E000
1573.600000,6.2080E-008,1573.600000,6.2080E-008,1573.600000,1.0000E000
1573.800000,7.3750E-008,1573.800000,7.3750E-008,1573.800000,1.0000E000
1574.000000,5.2600E-008,1574.000000,5.2600E-008,1574.000000,1.0000E000
1574.200000,5.4000E-008,1574.200000,5.4000E-008,1574.200000,1.0000E000
1574.400000,4.0770E-008,1574.400000,4.0770E-008,1574.400000,1.0000E000
1574.600000,4.8920E-008,1574.600000,4.8920E-008,1574.600000,1.0000E000
1574.800000,4.2720E-008,1574.800000,4.2720E-008,1574.800000,1.0000E000
1575.000000,3.6690E-008,1575.000000,3.6690E-008,1575.000000,1.0000E000
1575.200000,3.2540E-008,1575.200000,3.2540E-008,1575.200000,1.0000E000
1575.400000,5.7580E-008,1575.400000,5.7580E-008,1575.400000,1.0000E000
1575.600000,4.4530E-008,1575.600000,4.4530E-008,1575.600000,1.0000E000
1575.800000,3.5310E-008,1575.800000,3.5310E-008,1575.800000,1.0000E000
1576.000000,5.6210E-008,1576.000000,5.6210E-008,1576.000000,1.0000E000
1576.200000,3.9760E-008,1576.200000,3.9760E-008,1576.200000,1.0000E000
1576.400000,6.8950E-008,1576.400000,6.8950E-008,1576.400000,1.0000E000
1576.600000,7.1900E-008,1576.600000,7.1900E-008,1576.600000,1.0000E000
1576.800000,6.7130E-008,1576.800000,6.7130E-008,1576.800000,1.0000E000
1577.000000,6.1670E-008,1577.000000,6.1670E-008,1577.000000,1.0000E000
1577.200000,5.9780E-008,1577.200000,5.9780E-008,1577.200000,1.0000E000
1577.400000,8.3430E-008,1577.400000,8.3430E-008,1577.400000,1.0000E000
1577.600000,9.1280E-008,1577.600000,9.1280E-008,1577.600000,1.0000E000
1577.800000,8.9110E-008,1577.800000,8.9110E-008,1577.800000,1.0000E000
1578.000000,8.0170E-008,1578.000000,8.0170E-008,1578.000000,1.0000E000
1578.200000,1.0400E-007,1578.200000,1.0400E-007,1578.200000,1.0000E000
1578.400000,8.9060E-008,1578.400000,8.9060E-008,1578.400000,1.0000E000
1578.600000,1.3430E-007,1578.600000,1.3430E-007,1578.600000,1.0000E000
1578.800000,1.4590E-007,1578.800000,1.4590E-007,1578.800000,1.0000E000
1579.000000,1.5190E-007,1579.000000,1.5190E-007,1579.000000,1.0000E000
1579.200000,1.7340E-007,1579.200000,1.7340E-007,1579.200000,1.0000E000
1579.400000,1.9000E-007,1579.400000,1.9000E-007,1579.400000,1.0000E000
1579.600000,2.1020E-007,1579.600000,2.1020E-007,1579.600000,1.0000E000
1579.800000,2.2320E-007,1579.800000,2.2320E-007,1579.800000,1.0000E000
1580.000000,2.3940E-007,1580.000000,2.3940E-007,1580.000000,1.0000E000
1580.200000,2.6550E-007,1580.200000,2.6550E-007,1580.200000,1.0000E000
1580.400000,2.4980E-007,1580.400000,2.4980E-007,1580.400000,1.0000E000
1580.600000,2.8890E-007,1580.600000,2.8890E-007,1580.600000,1.0000E000
1580.800000,3.0070E-007,1580.800000,3.0070E-007,1580.800000,1.0000E000
1581.000000,3.5600E-007,1581.000000,3.5600E-007,1581.000000,1.0000E000
1581.200000,3.5050E-007,1581.200000,3.5050E-007,1581.200000,1.0000E000
1581.400000,3.8780E-007,1581.400000,3.8780E-007,1581.400000,1.0000E000
1581.600000,4.2290E-007,1581.600000,4.2290E-007,1581.600000,1.0000E000
1581.800000,4.6600E-007,1581.800000,4.6600E-007,1581.800000,1.0000E000
1582.000000,4.3800E-007,1582.000000,4.3800E-007,1582.000000,1.0000E000
1582.200000,4.7000E-007,1582.200000,4.7000E-007,1582.200000,1.0000E000
1582.400000,4.8160E-007,1582.400000,4.8160E-007,1582.400000,1.0000E000
1582.600000,5.3170E-007,1582.600000,5.3170E-007,1582.600000,1.0000E000
1582.800000,5.4530E-007,1582.800000,5.4530E-007,1582.800000,1.0000E000
1583.000000,5.2850E-007,1583.000000,5.2850E-007,1583.000000,1.0000E000
1583.200000,5.7190E-007,1583.200000,5.7190E-007,1583.200000,1.0000E000
1583.400000,5.8810E-007,1583.400000,5.8810E-007,1583.400000,1.0000E000
1583.600000,6.3150E-007,1583.600000,6.3150E-007,1583.600000,1.0000E000
1583.800000,6.1310E-007,1583.800000,6.1310E-007,1583.800000,1.0000E000
1584.000000,6.8260E-007,1584.000000,6.8260E-007,1584.000000,1.0000E000
1584.200000,6.6520E-007,1584.200000,6.6520E-007,1584.200000,1.0000E000
1584.400000,6.8560E-007,1584.400000,6.8560E-007,1584.400000,1.0000E000
