
Entrada de Log : 06:12:26 miércoles, 29 de noviembre de 2017
  :
  :Commando ejecutado -> GPIB0::8::INSTR Lectura continua
  :
-------------------------------
1E-12
,1E-12
,0.2842E-7
,1E-12
,0.3074E-7
,1E-12
,0.253E-7
,1E-12
,0.198E-7
,0.4106E-7
,0.3985E-7
,0.1194E-7
,1E-12
,1E-12
,0.2061E-7
,1E-12
,0.3E-7
,0.4057E-7
,1E-12
,1E-12
,0.2746E-7
,0.1197E-7
,0.2202E-8
,0.17E-7
,1E-12
,0.225E-7
,0.1139E-7
,1E-12
,0.4027E-7
,1E-12
,0.6204E-8
,0.3126E-7
,0.154E-7
,0.2444E-8
,0.2647E-7
,0.6691E-8
,0.1895E-7
,1E-12
,0.115E-7
,0.188E-7
,0.16E-7
,0.3021E-7
,0.4052E-8
,0.1247E-7
,1E-12
,0.1401E-7
,0.296E-7
,0.3145E-7
,0.1057E-7
,1E-12
,1E-12
,1E-12
,1E-12
,1E-12
,1E-12
,1E-12
,0.8789E-8
,0.1367E-7
,1E-12
,0.7819E-8
,0.293E-7
,1E-12
,1E-12
,0.3966E-8
,0.2924E-8
,0.8686E-8
,0.7485E-8
,1E-12
,0.5352E-7
,0.4323E-7
,1E-12
,1E-12
,0.1306E-7
,0.4614E-7
,0.6793E-9
,1E-12
,1E-12
,1E-12
,1E-12
,0.1741E-7
,1E-12
,1E-12
,1E-12
,0.5137E-8
,0.1047E-7
,1E-12
,1E-12
,1E-12
,1E-12
,1E-12
,0.9351E-8
,0.1085E-7
,1E-12
,0.1284E-7
,1E-12
,0.5048E-7
,1E-12
,1E-12
,1E-12
,0.6231E-8
,1E-12
,1E-12
,1E-12
,0.2132E-7
,0.2331E-7
,1E-12
,0.211E-7
,1E-12
,1E-12
,0.2427E-8
,0.2606E-7
,0.4173E-7
,0.4563E-7
,1E-12
,0.1675E-7
,1E-12
,1E-12
,1E-12
,1E-12
,0.3232E-7
,0.8091E-8
,0.1136E-7
,1E-12
,1E-12
,0.359E-9
,1E-12
,0.578E-7
,1E-12
,0.1599E-7
,1E-12
,1E-12
,0.6631E-7
,1E-12
,0.9152E-8
,0.3591E-7
,0.356E-7
,1E-12
,0.2643E-7
,0.2083E-7
,0.3227E-7
,1E-12
,1E-12
,1E-12
,0.4263E-7
,1E-12
,0.1517E-7
,1E-12
,0.2247E-7
,0.1583E-7
,0.5216E-7
,1E-12
,0.1471E-7
,0.9014E-8
,0.4058E-7
,0.1893E-7
,1E-12
,1E-12
,1E-12
,1E-12
,1E-12
,0.1161E-7
,0.1543E-7
,1E-12
,1E-12
,0.5057E-8
,1E-12
,1E-12
,1E-12
,0.99E-8
,1E-12
,1E-12
,1E-12
,0.2779E-7
,1E-12
,1E-12
,0.3878E-7
,0.3424E-7
,0.6295E-8
,0.1894E-7
,0.2416E-7
,0.524E-7
,0.1916E-7
,0.1972E-7
,1E-12
,0.77E-8
,0.49E-7
,1E-12
,0.1222E-8
,0.2489E-7
,0.1392E-7
,0.1556E-7
,0.3086E-7
